k_number,decision_date,date_received,product_code,applicant,device_name,decision_description,clearance_type,advisory_committee_description,country_code,state,expedited_review_flag,third_party_flag,statement_or_summary,pdf_url
K251545,2025-09-04,2025-05-20,ONF,"Micowey Medical Equipment (Guangxi) Co., Ltd.",Intense Pulsed Light Therapy Device (MMABM-1),Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K251545
K243123,2025-07-03,2024-09-30,ONF,"Medusa (Guangxi)Medical Devices Co., Ltd.",IPL Treatment Device (MDSQMC-01),Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K243123
K242440,2024-11-14,2024-08-16,ONF,"Nanjing Bestview Laser S&T Co., Ltd.",Intense Pulsed Light Treatment System (LK-PT),Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K242440
K240482,2024-05-17,2024-02-20,ONF,"Smedtrum Medical Technology Co., Ltd.",Intense Pulsed Light System (ST-690),Substantially Equivalent,Traditional,"General, Plastic Surgery",TW,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K240482
K233307,2024-03-15,2023-09-29,ONF,"Beijing Adss Development Co., Ltd.",Intensity Pulsed Light Therapy System,Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Statement,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233307
K232708,2023-12-01,2023-09-05,ONF,"Hebei Zhemai Technology Co., Ltd.",Intense pulsed light therapy device,Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232708
K231394,2023-08-09,2023-05-15,ONF,"Smedtrum Medical Technology Co., Ltd.",Intense Pulsed Light System,Substantially Equivalent,Traditional,"General, Plastic Surgery",TW,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231394
K230816,2023-04-21,2023-03-24,ONF,"Shangdong Huamei Technology Co., Ltd.",Intense Pulsed Light Treatment System,Substantially Equivalent,Special,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230816
K220214,2023-02-18,2022-01-26,ONF,"Shanghai Omni Laser Skinology Co., Ltd.",Painless IPL System - KDT750,Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220214
K221214,2022-09-21,2022-04-27,ONF,"Shenzhen Ionka Medical Technology Co., Ltd.","Hand-held IPL device (IPL Home Use Hair Removal Device) Model:FZ-608, FZ-608G, FZ-100, FZ-200",Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221214
