k_number,decision_date,date_received,product_code,applicant,device_name,decision_description,clearance_type,advisory_committee_description,country_code,state,expedited_review_flag,third_party_flag,statement_or_summary,pdf_url
K261325,2026-05-21,2026-04-22,OHT,"Shenzhen Ulike Smart Electronics Co., Ltd.","Ice Cooling IPL Hair Removal Device (UI06S PR, UI06S PN, UI06S WH, UI06S PRU, UI06S PNU, UI06S WHU)",Substantially Equivalent,Special,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K261325
K260594,2026-05-20,2026-02-23,OHT,"Shenzhen Xiazhifeng Electronic Co., Ltd.","IPL Hair Removal Device (FL-B505AG, FL-B505AP, FL-B505AM, FL-B507AG, FL-B507AP, FL-B507AM, FL-B508AG, FL-B508AP, FL-B508AM, FL-B509AG, FL-B509AP, FL-B509AM, FL-B510G, FL-B510P, FL-B510M, FL-B511G, FL-B511P, FL-B511M, FL-B512AG, FL-B512AP, FL-B512AM, FL-B513AG, FL-B513AP, FL-B513AM)",Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K260594
K260742,2026-05-05,2026-03-06,OHT,"Shenzhen Ulike Smart Electronics Co., Ltd.","Ice Cooling IPL Hair Removal Device (UI20S DB, UI20S RE, UI20S PW, UI20S GP, UI20S GR, UI20S BK)",Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K260742
K260518,2026-04-21,2026-02-17,OHT,"Shenzhen Semlamp Intelligent Technology Co., Ltd.","IPL Hair Removal (SL-B301, SL-B300, SL-B330, SL-B330-1, SL-B287-1, SL-B371, SL-B371-2, SL-B371-1, SL-B352, SL-B352-1, SL-B352-2, SL-B330-F)",Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K260518
K254047,2026-03-11,2025-12-17,OHT,"Shenzhen Chuangtong Yigou Technology Co., Ltd.","Hair Removal Device (CT10, CT10 Pro, CT11, CT11 Pro, CT12, CT12 Pro, CTU05, CTU07, CTU09, CTU012, CTU015, CTU X, DT015 Pro, DT015, DT017 Pro, DT017, DT025 Pro, DT025)",Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K254047
K253666,2026-02-23,2025-11-21,OHT,"Shenzhen Mlay Intelligent Technology Co., Ltd.","IPL Hair Removal Device (Models: T31A, T32A)",Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K253666
K253881,2025-12-29,2025-12-04,OHT,"Shenzhen Fansizhe Science and Technology Co., Ltd.","Intense Pulsed Light (IPL) System (Models: T033KQ, T033KD, T033KF, T033MQ, T033MD, T033MF, T055KQ, T055KD, T055KH, T505KQ, T505KH, T505KF, SL-B505WM)",Substantially Equivalent,Special,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K253881
K253754,2025-12-23,2025-11-25,OHT,Philips Consumer Lifestyle B.V.,Philips Lumea IPL,Substantially Equivalent,Special,"General, Plastic Surgery",NL,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K253754
K253304,2025-11-25,2025-09-29,OHT,"Dongguan Lide Electric Appliance Co., Ltd.","IPL Hair Removal Device (KA-10, KA-11, KA-11C, KA-11D, KA-18, KA-20, KA-21, KA-21C)",Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K253304
K253035,2025-11-19,2025-09-22,OHT,"Gu'An Yeolight Smart Electronics Co., Ltd.","IPL Hair Removal Device (SYL001AZ, SYL002AZ)",Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K253035
K252618,2025-11-14,2025-08-19,OHT,"Alovea Healthcare Co. , Ltd.","IPL Hair Removal Device (I6 S1, I6 D1, I6 M1)",Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K252618
