k_number,decision_date,product_code,applicant,device_name,pdf_status,pulse_modes,multi_pulse_flag,pulse_snippet,fluence_jcm2_candidates,fluence_jcm2_max,energy_j_candidates,energy_j_max,wavelength_nm,pulse_ms_range,pdf_url
K261325,2026-05-21,OHT,"Shenzhen Ulike Smart Electronics Co., Ltd.","Ice Cooling IPL Hair Removal Device (UI06S PR, UI06S PN, UI06S WH, UI06S PRU, UI06S PNU, UI06S WHU)",ok,triple+multi,YES,"with safety and efficacy. it is designed with a lamp that can emit continuously double or triple pulses per shot. it works below the skin's surface and does not involve any cutting or pulling,","5.3, 6.97, 7.27",7.27,"5.3, 6.97, 7.27, 8.0, 17.5, 23.0, 24.0",24.0,,1.82-10.0,https://www.accessdata.fda.gov/cdrh_docs/pdf26/K261325.pdf
K260594,2026-05-20,OHT,"Shenzhen Xiazhifeng Electronic Co., Ltd.","IPL Hair Removal Device (FL-B505AG, FL-B505AP, FL-B505AM, FL-B507AG, FL-B507AP, FL-B507AM, FL-B508AG, FL-B508AP, FL-B508AM, FL-B509AG, FL-B509AP, FL-B509AM, FL-B510G, FL-B510P, FL-B510M, FL-B511G, FL-B511P, FL-B511M, FL-B512AG, FL-B512AP, FL-B512AM, FL-B513AG, FL-B513AP, FL-B513AM)",ok,(none detected),unknown,,"3.0, 3.1, 4.1, 5.0",5.0,"3.0, 3.1, 4.0, 4.1, 5.0, 10.0, 10.8, 11.0, 12.5",12.5,,2.0-10.0,https://www.accessdata.fda.gov/cdrh_docs/pdf26/K260594.pdf
K260742,2026-05-05,OHT,"Shenzhen Ulike Smart Electronics Co., Ltd.","Ice Cooling IPL Hair Removal Device (UI20S DB, UI20S RE, UI20S PW, UI20S GP, UI20S GR, UI20S BK)",ok,double+single+multi,YES,se pulsed light xenon arc flashlamp 550-1200mm 1.65~6.92j/cm² 4.29~27j 3.9cm² 0.86-6.32ms double pulse quadruple pulse intense pulsed light xenon arc flashlamp same same 530-1100nm 7-10j/cm,"6.92, 10.0",10.0,"6.92, 10.0, 27.0, 30.0",30.0,530-1100,6.32-60.0,https://www.accessdata.fda.gov/cdrh_docs/pdf26/K260742.pdf
K260518,2026-04-21,OHT,"Shenzhen Semlamp Intelligent Technology Co., Ltd.","IPL Hair Removal (SL-B301, SL-B300, SL-B330, SL-B330-1, SL-B287-1, SL-B371, SL-B371-2, SL-B371-1, SL-B352, SL-B352-1, SL-B352-2, SL-B330-F)",ok,triple+double+single+shr,YES,"2 remark r3c16series: 6-11ms 9-12milliseconds 0.93ms~3.50ms single pulse double pulse triple pulse similar note 2 r3c16-p, r3c16-w, r3c16-g: 1.56j/cm2~4.69j/cm2 ; sl-b287: 2.2-5.3j/cm²","1.39, 1.56, 2.79, 3.03, 3.4, 3.57, 4.17, 4.69, 5.3, 6.1, 6.36, 6.41, 7.5",7.5,"1.39, 1.56, 2.79, 3.03, 3.4, 3.57, 4.17, 4.69, 5.3, 6.1, 6.36, 6.41, 7.5",7.5,530-1200,0.93-12.0,https://www.accessdata.fda.gov/cdrh_docs/pdf26/K260518.pdf
K254047,2026-03-11,OHT,"Shenzhen Chuangtong Yigou Technology Co., Ltd.","Hair Removal Device (CT10, CT10 Pro, CT11, CT11 Pro, CT12, CT12 Pro, CTU05, CTU07, CTU09, CTU012, CTU015, CTU X, DT015 Pro, DT015, DT017 Pro, DT017, DT025 Pro, DT025)",ok,double,YES,ilar spot size 4.2cm2 3.9cm² 0.86-6.32ms pulse duration 0.86-5.96ms quadruple pulse double pulse quadruple pulse pulsing control finger switch finger switch note 2 note 3 note 3 sim,"1.6, 4.3, 4.4, 4.7, 4.8, 5.0, 6.92",6.92,"1.6, 4.3, 4.4, 4.7, 4.8, 5.0, 6.92, 12.0, 13.0, 14.0, 21.0, 27.0",27.0,550-1200; 590-1200,2.0-15.0,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K254047.pdf
K253666,2026-02-23,OHT,"Shenzhen Mlay Intelligent Technology Co., Ltd.","IPL Hair Removal Device (Models: T31A, T32A)",ok,double+multi,YES,"multipulse) is within the range of those of the predicate devices (k250942, 0.86-6.32ms, double pulse, quadruple pulse; k251176, 0.4-5.5ms). any minor differences between the subject device a","5.9, 6.48, 6.92",6.92,"5.9, 6.48, 6.92",6.92,510-1200,0.4-6.32,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K253666.pdf
K253881,2025-12-29,OHT,"Shenzhen Fansizhe Science and Technology Co., Ltd.","Intense Pulsed Light (IPL) System (Models: T033KQ, T033KD, T033KF, T033MQ, T033MD, T033MF, T055KQ, T055KD, T055KH, T505KQ, T505KH, T505KF, SL-B505WM)",ok,triple+double+single,YES,"mpresses during hair removal. page 2 of 13 all models have single pulse, dual pulse and three pulse functions. the intense pulsed light (ipl) system includes main unit, an adaptor and goggl","5.1, 5.3, 5.4, 6.67, 8.03, 8.33, 8.48",8.48,"5.1, 5.3, 5.4, 6.67, 8.03, 8.33, 8.48, 15.8, 16.7, 17.7, 25.0, 26.0, 26.5, 28.0",28.0,,3.2-12.0,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K253881.pdf
K253754,2025-12-23,OHT,Philips Consumer Lifestyle B.V.,Philips Lumea IPL,ok,(none detected),unknown,,6.0,6.0,6.0,6.0,,0.4-0.4,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K253754.pdf
K253304,2025-11-25,OHT,"Dongguan Lide Electric Appliance Co., Ltd.","IPL Hair Removal Device (KA-10, KA-11, KA-11C, KA-11D, KA-18, KA-20, KA-21, KA-21C)",ok,(none detected),unknown,,"4.55, 4.67, 4.85, 5.2, 5.46, 5.6, 5.7, 5.82, 6.0",6.0,"4.55, 4.67, 4.85, 5.2, 5.46, 5.6, 5.7, 5.82, 6.0",6.0,600-1200,1.0-7.0,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K253304.pdf
K253035,2025-11-19,OHT,"Gu'An Yeolight Smart Electronics Co., Ltd.","IPL Hair Removal Device (SYL001AZ, SYL002AZ)",ok,(none detected),unknown,,"1.5, 1.52, 1.9, 2.27, 2.6, 3.03, 3.7, 3.79, 4.0, 4.55, 4.87, 5.18, 5.62",5.62,"1.5, 1.52, 1.9, 2.27, 2.6, 3.03, 3.7, 3.79, 4.0, 4.5, 4.55, 4.87, 5.0, 5.18, 5.62, 5.7, 7.5, 7.8, 10.0, 11.1, 12.0, 12.5, 13.0, 15.0, 16.0",16.0,470-1200; 560-1200; 610-1200,1.1-10.8,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K253035.pdf
K252618,2025-11-14,OHT,"Alovea Healthcare Co. , Ltd.","IPL Hair Removal Device (I6 S1, I6 D1, I6 M1)",ok,double+single+multi,YES,"g hair growth with minimal pain. model i6 s1 adopts single pulse technology, i6 d1 adopts dual pulse technology, and i6 m1 can switch between single pulse and dual pulse. the device is only","2.25, 2.75, 5.625, 6.56, 6.67, 7.27",7.27,"2.25, 2.75, 5.625, 6.56, 6.67, 7.27",7.27,550-1200; 600-1200,0.7-8.07,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252618.pdf
K252234,2025-10-14,OHT,"Shenzhen Qiaochengli Technology Co., Ltd.","IPL Home Use Hair Removal Device (Models: FDA11, FDA12, FDA13, FDA14, FDA15, FDA16, FDA17, FDA18, FDA19, FDA20, FDA21S, FDA22S, FDA23S, FDA24S, FDA25, FDA26, FDA27, FDA28, FDA29S, FDA30S, FDA31S)",ok,(none detected),unknown,,"2.64, 3.5, 4.28, 4.69",4.69,"2.64, 3.5, 4.28, 4.69",4.69,510-1200,0.9-12.0,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252234.pdf
K252209,2025-10-10,OHT,"Foshan Jindi Electric Appliance Co., Ltd.","IPL Home Use Hair Removal Device (JD-TM016, JD-TM023, JD-TM027, JD-TM028, JD-TM032)",ok,double+single+multi,YES,"-tm016, jd-tm023 are single pulse devices while models jd-tm027, jd-tm028 and jdtm032 are double pulses devices. the device is only powered by the external power adapter. this device adopts sa","1.1, 1.4, 1.6, 6.67, 7.2, 10.0",10.0,"1.1, 1.4, 1.6, 3.6, 4.0, 4.2, 4.8, 6.67, 7.2, 10.0, 19.8, 26.0, 30.0",30.0,530-1100; 560-1200,2.0-60.0,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252209.pdf
K251398,2025-10-02,OHT,"Shenzhen Enmind Technology Co., Ltd.","IPL Hair Removal Device (IPL-001, IPL-002)",ok,(none detected),unknown,,"3.2, 5.5",5.5,"3.2, 5.5",5.5,560-1200; 580-1200,4.5-15.5,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251398.pdf
K252804,2025-10-01,OHT,"Shenzhen Ulike Smart Electronics Co., Ltd.","Ice Cooling IPL Hair Removal Device (UI20S BK, UI20S BS, UI20S DB, UI20S GP, UI20S GR, UI20S MP, UI20S PW, UI20S RE, UI20S WH, UI20WG;UI20 BK, UI20 BL, UI20 BR, UI20 BS, UI20 DB, UI20 GP, UI20 GR, UI20 MP, UI20 PN, UI20 PW, UI20 RE, UI20 WH; UI06 PN, UI06 PL, UI06 JL, UI06 BR, UI06 DB,UI06 PR, UI06 OG,UI06RD,UI06 WH, UI06 MG, UI06 OB, UI06 LY, UI06 IG; UI06S PR, UI06S PN, UI06S WH, UI06S PRU, UI06S PNU, UI06S WHU; UI04 MK, UI04 BN, UI04 BU, UI04 CB, UI04 GY, UI04 LG, UI04 DG, UI04 PL,",ok,(none detected),unknown,,,,,,,,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252804.pdf
K251914,2025-09-15,OHT,"Miley Technology (Hebei) Co., Ltd.",IPL Hair Removal Device (MLY-M011); IPL Hair Removal Device (MLY-M012); IPL Hair Removal Device (MLY-M013); IPL Hair Removal Device (MLY-M015); IPL Hair Removal Device (MLY-T001); IPL Hair Removal Device (MLY-T002),ok,(none detected),unknown,,"2.5, 3.5, 4.6, 4.8, 5.22, 5.59, 5.89",5.89,"1.2, 1.5, 1.9, 2.2, 2.5, 2.6, 3.5, 4.6, 4.8, 5.22, 5.59, 5.89, 10.0, 19.1",19.1,560-1200; 590-1200,2.0-7.5,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251914.pdf
K251545,2025-09-04,ONF,"Micowey Medical Equipment (Guangxi) Co., Ltd.",Intense Pulsed Light Therapy Device (MMABM-1),ok,double+multi,YES,se energy j 1.9 -87.8 1.9-216 1.9-175.5 energy density 5-13 5-35 5-32 5-30 5-26 5-22 j/cm 2 pulse train width 5-500 5-200 (ms) pulse train interval 1s-5s time s size of treatment 7mm roun,"22.0, 50.0",50.0,"13.0, 22.0, 23.3, 24.9, 26.0, 27.8, 30.0, 30.2, 31.6, 32.0, 34.8, 35.0, 50.0",50.0,400-1200; 420-1200; 510-1200; 515-1200; 560-1200; 590-1200; 610-1200; 610-980; 640-1200; 695-1200,20.0-50.0,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251545.pdf
K251176,2025-08-14,OHT,"Shenzhen Mlay Intelligent Technology Co., , Ltd.","IPL Hair Removal Device (Model(s): T14B, T16B, T19B, T15B, T17C, T18B, T21A, T21B, T21C, T21D, T22A, T22B, T25B, T25C)",ok,triple+double+single,YES,note 2 se note 2 0.4~5.5ms 0.5~8.0ms 4 ~ 12ms 0.93ms~3.50ms single pulse double pulse triple pulse yes yes yes yes yes same presence presence presence presence presence same 7,"5.23, 5.75, 5.9, 7.2",7.2,"5.23, 5.75, 5.9, 6.41, 7.2",7.2,560-1200,0.93-12.0,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251176.pdf
K251707,2025-08-01,OHT,"Shenzhen Huachuangtong Industrial Co., Ltd.",IPL Hair Removal Device (HCT-1208/HCT-1208B/HCT-1208L),ok,(none detected),unknown,,"4.58, 4.8, 5.89, 7.27",7.27,"1.2, 1.5, 1.9, 2.2, 2.6, 4.58, 4.8, 5.89, 7.27, 11.0, 24.0",24.0,,3.0-8.07,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251707.pdf
K251984,2025-07-24,OHT,"Shenzhen Ulike Smart Electronics Co., Ltd.","Ice Cooling IPL Hair Removal Device (UI06S PR, UI06S PN, UI06S WH, UI06S PRU, UI06S PNU, UI06S WHU)",ok,triple+multi,YES,"with safety and efficacy. it is designed with a lamp that can emit continuously double or triple pulses per shot. it works below the skin's surface and does not involve any cutting or pulling,","5.3, 5.45, 7.2, 7.27",7.27,"5.3, 5.45, 7.2, 7.27, 8.0, 17.5, 18.0, 19.8, 24.0",24.0,,1.82-10.0,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251984.pdf
K251173,2025-07-14,OHT,"Shenzhen Fansizhe Science and Technology Co., Ltd.","Intense Pulsed Light (IPL) System (T033KQ, T033KD, T033KF, T033MQ, T033MD, T033MF, T055KQ, T055KD, T055KH, T002AQ, T002AD, T002AF, T002BQ, T002BD, T002BF, T050KQ, T050KD, T050KF)",ok,double+single,YES,"kin by the photon irradiation and do cooling compresses during hair removal. based on the dual pulse technology, intense pulsed light (ipl) system, models: t033kq, t033kd, t033kf, t033mq, t0","4.03, 4.2, 5.1, 5.2, 5.3, 5.4, 5.43, 6.67",6.67,"4.03, 4.2, 5.1, 5.2, 5.3, 5.4, 5.43, 6.67, 10.0, 15.8, 16.1, 16.6, 16.7, 17.2, 17.7, 26.0",26.0,,0.8-12.0,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251173.pdf
K250942,2025-07-11,OHT,"Shenzhen Ulike Smart Electronics Co., Ltd.","Ice Cooling IPL Hair Removal Device (UI20S DB, UI20S RE, UI20S PW, UI20S GP, UI20S GR, UI20S BK, UI20 DB, UI20 RE, UI20 PW, UI20 GP, UI20 GR, UI20 BK)",ok,double+single+multi,YES,² output energy 4.29~27j 6.5~26j 21~30j spot size pulse duration 3.9cm² 0.86-6.32ms double pulse quadruple pluse 3.9cm² 0.88~3.20ms single pulse double pulse quadruple pluse pulsing co,"3.33, 4.5, 5.43, 6.67, 6.92, 10.0",10.0,"3.33, 4.16, 4.3, 4.36, 4.5, 5.1, 5.43, 6.1, 6.67, 6.92, 6.96, 7.96, 8.63, 9.13, 10.0, 19.35, 26.0, 27.0, 30.0",30.0,530-1100,0.8-60.0,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250942.pdf
K243123,2025-07-03,ONF,"Medusa (Guangxi)Medical Devices Co., Ltd.",IPL Treatment Device (MDSQMC-01),ok,(none detected),unknown,,"35.0, 50.0",50.0,"35.0, 50.0, 56.0",56.0,400-1200; 430-1200; 520-650; 560-1200; 590-1200; 640-1200; 695-1200,20.0-25.0,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243123.pdf
K251000,2025-06-30,OHT,"Shenzhen Chuangtong Yigou Technology Co., Ltd.","Hand-held Hair Removal Device (FZ-200A, FZ-201, FZ-202, CT05, CT06, CT07, CT08, CT09)",ok,(none detected),unknown,,"3.33, 4.3, 4.5, 5.1, 5.43, 6.0",6.0,"3.33, 4.16, 4.3, 4.36, 4.5, 5.1, 5.43, 6.0, 6.1, 6.96, 7.96, 8.63, 9.13, 10.0, 13.0, 19.8, 22.21",22.21,510-1200; 511-1200; 512-1197; 560-1200; 590-1200,0.8-11.2,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251000.pdf
K243036,2025-06-15,OHT,"Bestway Plastic and Metal Products , Ltd.","IPL Hair Removal Device (BHRL-01, BHRL-02, BHRL-03, BHRL-04, BHRL-05, BHRL-06, BHRL-06B, BHRL-07, BHRL-08, BHRL-09, BHRL-10, BHRL-11, BHRL-12, BHRL-13, BHRL-14, BHRL-15, BHRL-16, BHRL-17, BHRL-18, BHRL-19, BHRL-20, BHRL-21, BHRL-22, BHRL-23, BHRL-24, BHRL-25, BHRL-26, BHRL-27, BHRL-28, BHRL-29)",ok,(none detected),unknown,,"3.33, 4.1, 4.5, 5.0, 5.43",5.43,"3.33, 4.1, 4.16, 4.36, 4.5, 5.0, 5.1, 5.43, 6.1, 6.96, 7.96, 8.63, 9.13, 10.0, 11.0, 12.5",12.5,,0.8-10.0,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243036.pdf
