"k_number","decision_date","device_name","applicant","country_code","clearance_type","decision_description"
"DEN160029","2018-03-01","SkinPen Precision System","Bellus Medical, LLC","US","Direct","Unknown"
"K180778","2018-09-07","Exceed Microneedling Device","Mt. Derm GmbH","DE","Traditional","Substantially Equivalent"
"K182407","2019-07-19","Exceed Microneedling device","Mt. Derm GmbH","DE","Traditional","Substantially Equivalent"
"K192138","2020-04-09","Rejuvapen NXT","Refine USA, LLC","US","Traditional","Substantially Equivalent"
"K200044","2020-04-10","SkinStylus SteriLock MicroSystem","Esthetic Education, LLC","US","Traditional","Substantially Equivalent"
"K202243","2021-04-02","SkinPen Precision System","Crown Aesthetics","US","Traditional","Substantially Equivalent"
"K203144","2021-05-25","MicroPen EVO","Eclipse Medcorp, LLC","US","Traditional","Substantially Equivalent"
"K202517","2021-07-09","Cytrellis Dermal Micro-Coring System","Cytrellis Biosystems, Inc.","US","Traditional","Substantially Equivalent"
"K212558","2021-11-24","MicroPen EVO","Eclipse Medcorp, LLC","US","Traditional","Substantially Equivalent"
"K220506","2022-03-07","SkinPen Precision System","Crown Aesthetics","US","Special","Substantially Equivalent"
"K222199","2022-10-21","Collagen P.I.N. (Percutaneous Induction Needling)","Induction Therapies, LLC","US","Traditional","Substantially Equivalent"
"K221011","2022-12-20","AI.ME System","Venus Concept USA, Inc.","US","Traditional","Substantially Equivalent"
"K221070","2022-12-20","DP4 Microneedling device","Equipmed USA, LLC","US","Traditional","Substantially Equivalent"
"K231073","2023-07-28","SkinStylus SteriLock® MicroSystem, Model Number MP1209SL","Esthetic Medical, Inc.","US","Traditional","Substantially Equivalent"
"K230420","2023-08-11","Dr. pen Microneedling System","Guangzhou Ekai Electronic Technology Co., Ltd.","CN","Traditional","Substantially Equivalent"
"K233709","2024-02-23","Exceed Unlimited","Mt. Derm GmbH","DE","Traditional","Substantially Equivalent"
"K241400","2024-08-29","SkinPen Precision Elite System","Crown Aesthetics","US","Traditional","Substantially Equivalent"
"K241355","2024-10-09","SER Pen Carain MicroSystem (MP1209SP)","Su-Ko Technologies, LLC","US","Traditional","Substantially Equivalent"
"K241790","2025-03-06","XCELLARISPRO TWIST microneedling device","Dermaroller GmbH","DE","Traditional","Substantially Equivalent"
"K243472","2025-03-19","1NEED Pro","Campomats S.R.L.","IT","Traditional","Substantially Equivalent"
"K243143","2025-04-07","E-PEN (E-PEN)","Bomtech Electronics Co., Ltd.","KR","Traditional","Substantially Equivalent"
"K243800","2025-08-25","PRO Pen Microneedling System (6883)","Dermalogica, LLC","US","Traditional","Substantially Equivalent"
"K253153","2025-10-29","SER Pen Carain MicroSystem (MP1209SP)","Su-Ko Technologies, LLC","US","Special","Substantially Equivalent"
"K252752","2025-10-30","ellacor System with Micro-Coring Technology","Cytrellis Biosystems, Inc.","US","Traditional","Substantially Equivalent"
"K253002","2026-02-19","SkinStylus SteriLock MicroSystem (MP1209SL)","Esthetic Medical, Inc.","US","Traditional","Substantially Equivalent"
"K252591","2026-05-13","Automatic Micro Needle System (CODE-X)","Woorhi Mechatronics Co., Ltd.","KR","Traditional","Substantially Equivalent"
