k_number,decision_date,applicant,device_name,product_code,regulation_number,classification_name
"DEN080006","2009-09-11","Ulthera, Inc.","ULTHERA SYSTEM, MODEL 8850-0001","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K100874","2011-08-19","Medicis Technologies Corporation","LIPOSONIX SYSTEM, MODEL 1 P00XXXX","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K112626","2011-10-20","Medicis Technologies Corporation","LIPSONIX(R) SYSTEM MODEL 2","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K122528","2012-08-28","Ulthera, Inc.","ULTHERA SYSTEM","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K121700","2012-10-02","Ulthera, Inc.","ULTHERA SYSTEM","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K132028","2013-12-11","Ulthera, Inc.","ULTHERA SYSTEM","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K133238","2014-04-10","Syneron Medical, Ltd.","CONTOUR I V3.1 SYSTEM","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K134032","2014-06-20","Ulthera, Inc.","ULTHERA SYSTEM","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K141708","2014-10-06","Syneron Medical, Ltd.","ULTRASHAPE SYSTEM","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K160896","2016-07-08","Syneron Medical, Ltd.","ULTRASHAPE POWER SYSTEM","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K161952","2016-11-07","Syneron Medical, Ltd.","UltraShape System","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K162163","2016-11-17","Syneron Medical, Ltd.","UltraShape System","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K170370","2017-05-15","Syneron Medical, Ltd.","ULTRASHAPE POWER SYSTEM","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K180623","2018-05-04","Ulthera, Inc.","Ulthera System","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K191421","2019-09-09","Sofwave Medical, Ltd.","Sofacia System","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K181896","2019-10-18","Jeisys Medical, Inc.","LIPOcel","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K211483","2021-11-15","Sofwave Medical, Ltd.","SofWave System","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K223237","2022-12-16","Sofwave Medical, Ltd.","SofWave System","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K230019","2023-03-14","Sofwave Medical, Ltd.","SofWave System","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K230820","2023-04-18","Sofwave Medical, Ltd.","SofWave System","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K231537","2023-08-28","Sofwave Medical, Ltd.","SofWave System","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K231628","2023-09-29","Beshape Technologies , Ltd.","BeShape One Device","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K230100","2023-11-03","Classys, Inc.","SCIZER (SC1-M410)","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K232455","2023-12-14","Sofwave Medical, Ltd.","SofWave System","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K233104","2023-12-22","Sofwave Medical, Ltd.","SofWave System","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K233996","2024-02-22","Ulthera, Inc.","Ulthera System (UC-1 Control Unit PRIME)","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K240687","2024-05-30","Sofwave Medical, Ltd.","SofWave System","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K243035","2025-02-24","Ulthera, Inc.","Ulthera® System","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K250418","2025-05-13","Ulthera, Inc.","Ulthera System (UC-1 Control Unit PRIME Model 2.1)","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
"K260618","2026-05-21","Ulthera, Inc.","Ulthera® System","OHV","878.4590","Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption"
